State,Area Name (with parent county and code),Code,Type of Change,Effective Date,Effective_Year,Effective_Month,Effective_Day,Description of Change,Source of Change,Date Submitted
01,Adamsville city (Jefferson-073),00460,Additional County Subdivision,1/2/01,2001,1,2,Annexed into Robbins Crossroads (92745) and West Jefferson (93447) CCDs.,Boundary and Annexation Survey,5/8/03
01,Adamsville city (Jefferson-073),00460,Additional County Subdivision,1/3/06,2006,1,3,Annexed into Brookside CCD (90405).,Boundary and Annexation Survey,7/2/10
01,Alexandria-Webster Chapel CCD (Calhoun-015),90066,"FIPS Code Change, Name Change",11/16/09,2009,11,16,Changed from Websters Chapel-Alexandria Valley CCD (93402).,Census Bureau,11/16/09
01,Aliceville CCD (Pickens-107),90072,"FIPS Code Change, Name Change",11/16/09,2009,11,16,Changed from South Pickens CCD (92973).,Census Bureau,11/16/09
01,Aliceville city (Pickens-107),01228,Additional County Subdivision,3/10/08,2008,3,10,Annexed into Carrollton CCD (90495).,Boundary and Annexation Survey,7/28/09
01,Anniston city (Calhoun-015),01852,Merger/Consolidation,12/15/00,2000,12,15,Most area of deleted Blue Mountain town (07552) merged into Anniston city.,Boundary and Annexation Survey,3/5/03
01,Arsenal CCD (Madison-089),90117,"FIPS Code Change, Name Change",11/16/09,2009,11,16,Changed to Redstone Arsenal CCD (92695).,Census Bureau,11/16/09
01,Ashford town (Houston-069),02836,Description Change,12/9/05,2005,12,9,Changed from city to town.,Census Bureau,12/9/05
01,Ashland town (Clay-027),02860,Description Change,12/9/05,2005,12,9,Changed from city to town.,Census Bureau,12/9/05
01,Ashville city (St. Clair-115),02908,Description Change,12/9/05,2005,12,9,Changed from town to city.,Census Bureau,12/9/05
01,Atmore city (Escambia-053),03004,Additional County Subdivision,9/26/03,2003,9,26,Annexed into McCullough-Husford CCD (92034).,Boundary and Annexation Survey,4/16/04
01,Bakerhill city (Barbour-005),03724,New Entity,7/2/97,1997,7,2,Incorporated. Located in Bakerhill CCD (90189).,Boundary and Annexation Survey,4/3/02
01,Bakerhill town (Barbour-005),03724,Description Change,12/9/05,2005,12,9,Changed from city to town.,Census Bureau,12/9/05
01,Belle Fontaine CDP (Mobile-097),05212,FIPS Class Code Change,2/2/11,2011,2,2,FIPS Class Code changed from U1 to U2.,Census Bureau,2/2/11
01,Benton town (Lowndes-085),05692,Detached From County Subdivision,1/1/10,2010,1,1,Detached from Lowndesboro CCD (91998) due to minor correction adding part of Lowndesboro CCD to Benton-Collirene CCD (90270).,Participant Statistical Areas Program,9/4/10
01,Big Sandy-Duncanville CCD (Tuscaloosa-125),90306,"FIPS Code Change, Name Change",1/1/10,2010,1,1,Changed from Duncanville (90922).,Participant Statistical Areas Program,7/6/10
01,Big Sandy-Duncanville CCD (Tuscaloosa-125),90306,"FIPS Code Change, Name Change",11/16/09,2009,11,16,Changed to Duncanville CCD (90922). Changed to reflect largest populated place in the area only. Big Sandy is a stream name.,Census Bureau,11/16/09
01,Blue Mountain town (Calhoun-015),07552,Deleted Entity,12/15/00,2000,12,15,Disincorporated. Most area merged with Anniston city (01852).,Boundary and Annexation Survey,3/5/03
01,"Boaz city (Etowah-055, Marshall-095)",07912,Merger/Consolidation,8/12/09,2009,8,12,"Includes merged Mountainboro town (51672), Etowah County (055).",Boundary and Annexation Survey,1/21/10
01,Braggs-Prairie Hill CCD (Lowndes-085),90351,"FIPS Code Change, Name Change",11/16/09,2009,11,16,Changed to Mosses CCD (92245).,Census Bureau,11/16/09
01,Branchville town (St. Clair-115),08920,Deleted Entity,6/4/07,2007,6,4,Merged into Odenville town (56400).,Boundary and Annexation Survey,4/18/08
01,Bridgeport city (Jackson-071),09328,Additional County Subdivision,1/1/07,2007,1,1,Annexed into Stevenson CCD (93006).,Boundary and Annexation Survey,7/28/09
01,Brook Highland CDP (Shelby-117),09500,NS Code Change,2/2/11,2011,2,2,NS Code changed from 02582665 to 02403203.,Census Bureau,2/2/11
01,Bullock County (011),011,County Boundary Correction,1/1/92,1992,1,1,"Bullock County (011), Fitzpatrick CCD (91098) exchanged territory with Pike County (109), Needmore CCD (92340).",Boundary and Annexation Survey,6/20/01
